order_id,order_date,amount,product_id
9800,2023-01-16,212.75,50
3218,2022-10-11,26.68,14
3680,2023-12-20,281.7,37
6120,2022-12-28,417.38,16
5787,2022-04-10,199.41,7
8506,2023-07-02,288.83,14
7898,2023-09-09,369.21,12
6876,2023-01-28,160.22,9
9286,2023-12-20,374.45,38
6920,2022-08-25,347.05,33
7054,2022-09-10,141.06,1
7120,2022-08-21,465.85,48
1561,2023-07-18,107.53,8
5369,2022-08-01,173.62,15
2856,2023-03-12,474.54,6
1361,2022-11-12,114.1,42
3526,2023-11-09,109.37,47
7973,2023-01-24,402.1,28
1411,2022-08-12,457.07,12
1593,2023-06-16,15.16,7
8838,2023-07-23,274.14,34
1384,2022-05-29,325.43,12
1011,2023-02-18,435.75,18
6978,2022-12-07,426.9,2
7849,2022-08-11,38.97,18
2089,2023-02-08,427.16,43
7070,2022-10-02,439.83,32
9912,2022-10-05,252.68,10
7920,2023-06-30,141.82,47
5465,2022-10-08,357.29,40
8505,2023-12-13,242.26,48
2854,2023-03-12,106.46,23
8242,2022-04-11,217.43,2
6794,2023-02-03,28.69,22
4813,2023-06-02,466.43,6
7106,2022-02-03,243.1,22
6071,2022-11-02,495.37,30
6416,2022-02-15,172.78,37
4258,2022-11-16,43.11,4
2102,2022-03-04,427.23,41
6079,2022-02-12,468.15,23
7876,2023-02-17,361.79,49
2790,2023-05-08,354.79,7
6072,2023-02-22,359.93,28
2572,2023-03-20,111.08,36
2739,2022-07-10,97.82,28
6337,2022-08-08,63.59,31
4808,2023-03-30,51.27,50
4534,2023-04-10,368.21,43
7551,2023-08-15,385.11,42
9690,2022-07-25,336.28,9
4320,2023-04-11,356.15,39
6285,2022-02-10,451.98,24
1186,2022-07-04,408.92,31
1427,2023-09-13,241.8,45
2611,2022-04-05,423.78,30
7805,2023-03-23,163.91,4
8125,2023-12-14,168.11,44
7039,2022-08-25,487.32,25
6963,2023-08-21,463.42,31
2982,2022-05-11,318.11,50
6733,2023-10-08,112.45,43
2218,2023-05-10,456.25,9
7070,2023-10-20,251.26,44
6623,2023-11-05,241.01,16
5754,2022-10-27,427.89,22
5706,2023-10-13,164.71,7
8471,2023-08-07,82.91,23
8960,2022-07-07,51.19,47
8595,2022-06-21,365.38,49
5670,2023-11-20,453.52,24
9239,2022-05-31,116.12,42
9181,2022-09-22,260.06,11
3658,2023-10-27,320.64,28
9998,2023-12-04,269.24,27
4439,2022-11-27,339.68,47
8024,2023-09-16,181.93,20
4670,2022-08-04,437.58,12
1032,2022-01-24,348.28,29
8047,2022-05-07,84.98,28
1149,2023-12-25,344.68,10
4477,2022-01-25,24.84,37
4883,2022-08-04,68.18,1
1333,2023-09-17,421.7,42
6278,2023-04-01,15.05,12
8405,2023-02-26,131.76,22
2977,2023-09-12,216.96,46
9907,2022-03-22,85.88,28
6931,2023-02-13,88.59,16
4565,2023-10-27,253.78,28
3584,2023-11-30,266.68,4
6714,2023-05-22,132.25,32
3763,2023-03-06,310.1,27
7560,2022-03-25,496.2,27
9279,2022-05-21,110.33,12
1909,2022-06-17,221.25,16
3728,2023-11-30,81.16,32
3482,2023-08-29,305.37,38
9195,2022-09-06,186.37,7
5433,2022-06-01,455.72,16
5613,2023-05-04,359.12,29
8828,2023-11-14,383.78,7
9775,2022-08-10,493.43,46
2857,2023-06-02,254.54,28
1653,2023-09-13,271.23,40
2039,2023-11-05,114.54,48
2802,2022-03-24,138.93,22
4550,2023-04-27,445.72,4
2188,2022-01-09,397.9,43
6543,2023-02-27,371.94,28
1410,2023-03-11,487.43,9
4951,2023-12-28,265.53,1
9772,2022-10-18,390.64,21
7046,2023-05-08,370.08,30
7578,2022-10-10,153.94,39
3685,2023-08-21,373.28,8
2001,2023-10-29,453.49,25
1132,2023-09-12,438.24,5
5584,2023-12-31,328.04,32
6225,2022-03-10,286.97,22
6075,2023-05-31,446.94,25
6589,2023-06-01,254.88,9
5501,2022-06-24,78.15,46
9427,2023-06-08,134.69,7
7721,2023-11-13,205.19,10
2543,2023-11-03,410.02,37
7192,2023-02-05,388.24,32
9211,2023-07-31,104.43,24
8329,2023-08-04,322.03,33
1809,2023-08-30,303.02,47
1008,2022-07-21,200.66,3
2490,2022-05-07,100.36,34
7064,2023-08-23,45.61,7
7401,2022-10-23,222.86,9
5395,2023-07-24,287.37,14
4870,2022-05-21,167.25,36
9916,2022-02-27,74.08,14
1285,2022-01-16,329.75,42
2961,2023-10-23,282.85,18
9425,2023-04-22,304.83,9
6001,2022-05-16,142.06,48
2474,2023-01-05,224.01,7
6854,2022-03-13,103.54,3
3107,2023-10-22,103.31,42
6095,2023-02-02,289.46,2
6717,2022-03-07,70.73,2
4665,2023-04-17,57.61,18
7353,2023-06-17,282.46,43
6562,2023-06-19,13.2,46
7109,2022-02-22,156.77,4
5417,2022-05-15,369.98,9
2921,2023-04-13,38.93,32
5994,2022-05-09,156.61,36
4064,2022-10-23,323.46,16
4264,2023-09-04,325.39,21
6705,2022-05-11,357.07,18
5839,2023-02-28,178.42,16
7881,2022-05-21,339.03,33
8535,2023-10-24,156.35,17
9845,2023-04-30,259.62,26
6274,2023-07-29,109.52,12
1679,2023-09-08,210.19,45
3379,2023-04-09,435.6,6
8010,2022-02-06,428.16,33
9107,2022-06-07,66.74,47
8648,2022-05-15,429.75,46
3837,2023-12-13,305.25,11
1095,2022-04-07,263.33,15
5864,2022-04-04,264.64,19
4535,2023-02-22,297.96,19
4069,2023-10-13,468.96,10
4984,2023-12-21,270.68,47
4362,2023-11-14,106.77,28
9955,2022-11-25,352.18,29
6702,2023-04-03,95.67,22
9034,2022-09-30,361.92,34
7064,2023-12-01,144.02,1
8312,2022-09-04,487.76,20
6264,2023-03-09,15.99,29
7759,2023-12-31,262.52,9
2839,2023-08-07,254.16,1
8902,2022-01-14,423.56,44
6150,2022-05-16,466.69,17
3399,2022-09-04,264.14,22
8456,2022-09-01,443.18,41
4707,2023-07-19,202.14,48
4854,2023-07-04,213.27,8
6020,2022-07-11,425.24,35
3829,2023-09-01,11.63,11
8941,2023-05-05,221.04,18
3445,2022-04-24,430.76,13
5594,2022-11-28,427.87,7
9231,2023-01-23,162.52,20
5190,2022-05-06,312.44,37
1554,2023-05-11,390.36,30
3850,2022-08-02,448.84,34
4182,2022-05-30,212.55,22
6833,2022-09-10,473.04,26
5763,2022-12-28,294.67,10
7942,2023-02-25,22.32,17
6939,2022-12-20,46.29,45
9709,2023-07-25,369.26,30
9492,2023-06-10,477.9,12
8312,2022-03-04,202.0,4
3524,2023-11-18,183.8,7
6158,2022-12-20,332.37,39
8926,2023-05-11,112.46,50
5441,2023-02-12,413.16,21
9861,2022-07-18,15.26,39
1674,2022-11-26,202.96,41
8477,2022-11-21,410.03,11
8460,2023-01-10,35.68,22
8049,2023-10-30,327.77,7
8427,2022-12-29,278.91,39
4070,2022-12-24,436.61,18
2898,2023-07-13,341.94,1
6482,2022-05-20,268.83,20
4552,2022-06-14,329.01,31
5764,2023-02-08,158.82,30
5436,2022-11-20,298.62,7
4044,2022-04-10,392.67,24
6392,2023-02-21,348.09,16
3073,2023-07-23,316.44,43
3922,2023-08-23,322.69,5
5218,2022-10-13,208.54,33
7951,2023-05-10,439.61,8
2982,2022-11-06,46.29,19
7869,2022-11-04,62.49,37
1666,2022-10-07,405.54,46
9778,2022-06-15,221.92,35
9665,2022-11-20,335.21,44
4801,2022-04-01,204.47,29
6851,2023-08-08,276.34,13
3388,2023-12-02,290.96,26
8376,2023-02-22,418.21,25
4996,2023-11-03,482.48,11
4844,2022-02-06,408.64,24
9296,2022-04-17,399.82,36
7442,2022-06-08,189.69,21
6172,2023-10-02,72.06,16
7081,2022-03-03,352.94,38
5020,2023-08-13,190.03,25
4558,2023-10-14,338.7,12
1836,2022-05-10,157.4,39
2769,2023-09-23,165.85,30
6069,2023-01-25,18.43,46
6730,2022-09-14,195.36,33
1573,2022-01-25,118.24,23
6674,2022-09-20,468.42,11
1812,2022-12-02,267.12,10
8496,2022-06-18,220.54,35
1694,2022-06-22,14.03,35
3618,2023-03-27,212.72,36
2832,2023-08-30,71.61,47
3503,2023-02-19,393.08,35
6444,2023-07-09,241.32,15
9478,2023-07-18,313.35,6
6651,2022-06-26,489.13,47
6332,2023-01-31,274.44,49
7917,2022-01-04,157.92,48
5567,2023-09-11,280.02,39
5978,2023-10-10,118.67,7
4926,2023-04-12,399.83,32
6056,2023-01-05,235.03,2
8774,2022-06-10,201.23,50
5539,2023-08-27,331.44,10
9935,2023-05-30,153.07,42
8853,2022-02-08,279.49,11
7588,2023-09-07,385.54,48
7345,2023-02-14,212.81,47
7001,2022-09-26,222.25,39
6415,2023-03-28,15.78,31
2264,2023-12-28,386.83,49
8335,2023-02-11,418.99,6
6738,2023-09-04,34.74,49
7078,2023-10-03,443.76,31
2692,2023-01-07,313.62,7
6859,2022-09-01,44.31,7
1008,2023-07-21,266.27,33
3113,2022-04-09,242.24,1
9474,2022-09-27,484.56,44
6742,2022-07-02,229.08,39
2080,2023-04-19,205.31,41
8970,2022-07-23,66.1,23
7625,2023-03-05,396.72,6
5700,2022-10-04,493.83,1
7947,2023-07-06,65.5,28
6568,2023-02-09,436.05,50
5162,2023-02-28,224.26,11
7592,2022-03-17,303.94,9
8414,2023-05-27,235.44,28
1469,2023-10-11,226.4,13
2609,2022-05-18,482.24,31
3141,2022-11-17,405.51,4
9477,2022-08-01,48.47,30
8570,2023-01-05,314.19,49
3164,2023-08-30,489.69,48
2875,2023-11-09,121.68,24
2674,2023-01-10,496.25,42
6953,2023-07-31,254.62,50
3141,2022-09-22,376.16,4
4910,2023-08-09,338.71,35
5116,2022-08-07,464.73,15
5321,2022-09-11,412.2,37
1103,2022-08-13,42.22,21
4089,2022-02-03,156.81,44
9131,2023-07-13,453.11,17
7655,2023-03-08,375.37,5
7538,2022-02-02,186.22,6
3076,2022-04-18,426.8,20
1649,2023-11-25,124.44,46
2063,2023-01-25,386.75,40
5120,2023-10-15,184.56,31
5118,2022-02-15,145.54,21
8888,2023-03-04,86.03,34
7893,2023-10-24,222.12,25
5806,2023-11-27,419.8,37
6766,2023-04-13,313.04,28
9249,2023-01-09,13.24,21
6471,2022-07-03,103.67,2
9349,2023-10-30,402.31,27
8216,2022-05-11,138.45,49
2639,2023-07-09,434.12,27
5836,2022-06-09,249.29,43
6543,2023-10-24,64.04,30
8568,2022-10-14,359.88,28
1956,2022-09-23,395.8,45
1853,2023-09-14,275.77,28
3383,2022-06-25,175.97,13
1840,2023-01-22,266.68,23
8027,2023-11-10,28.63,6
5337,2023-03-22,423.32,48
3419,2022-02-13,227.51,9
1826,2023-06-04,394.63,36
4655,2022-03-19,383.55,40
7639,2023-10-17,279.13,40
7915,2023-12-19,402.3,4
3665,2023-04-11,459.91,28
6797,2023-09-30,463.8,41
7726,2023-10-27,342.48,48
5851,2022-06-09,131.07,23
8809,2022-10-15,416.33,13
2668,2022-04-13,450.13,15
4079,2022-07-20,105.46,14
2136,2023-01-29,356.53,13
5752,2022-03-21,464.03,41
6759,2022-10-18,206.64,28
1286,2023-08-27,260.37,3
2938,2023-11-19,363.72,2
9458,2023-03-19,206.91,29
3289,2023-11-21,380.9,15
9853,2023-05-21,293.5,8
8242,2023-08-07,98.44,24
8081,2022-08-17,37.77,21
2607,2022-06-07,486.55,21
6437,2022-07-20,419.14,28
1936,2022-05-13,388.26,19
3601,2022-01-28,196.4,12
4974,2022-01-26,129.03,15
2428,2022-07-09,43.79,30
8591,2022-11-13,76.69,15
4682,2022-10-14,165.35,28
2124,2022-06-26,74.36,28
2080,2023-04-18,12.88,46
8223,2023-07-25,210.68,33
8661,2023-02-28,344.07,37
4120,2022-09-02,94.48,16
6413,2022-02-17,128.13,42
8747,2023-11-22,202.11,47
9851,2022-11-04,433.81,37
1129,2022-02-24,41.16,23
7296,2022-07-15,213.64,42
5193,2023-01-16,250.87,19
5002,2023-11-22,41.47,23
7588,2022-01-18,443.03,39
2454,2023-09-17,109.68,9
1731,2023-05-08,138.72,14
1879,2023-12-04,174.52,11
6534,2023-01-21,436.13,12
7428,2023-04-15,352.51,48
9598,2023-08-07,329.8,5
8771,2023-09-06,10.19,22
9796,2023-07-15,322.9,34
3378,2022-05-14,123.64,13
8268,2022-08-28,286.28,35
3559,2023-03-16,228.23,4
6386,2022-09-26,368.26,14
9259,2023-10-01,78.67,32
1690,2023-07-21,330.5,48
2405,2023-11-19,17.56,44
6423,2022-07-20,455.63,28
2904,2022-06-16,296.99,28
2270,2022-10-28,13.72,11
3408,2022-05-27,458.8,40
2806,2023-12-26,63.74,20
4040,2023-11-02,298.27,17
8680,2022-06-30,300.3,29
5534,2022-09-16,372.77,16
7063,2022-08-26,493.87,35
1562,2023-01-09,78.18,8
6507,2023-07-19,193.67,31
1274,2022-08-23,436.95,6
5364,2022-11-28,268.62,36
2191,2022-04-08,42.51,9
9356,2023-02-21,474.19,30
7260,2023-03-03,221.72,40
1853,2022-05-09,452.67,4
1038,2022-06-05,160.65,38
5676,2022-07-29,64.49,3
7966,2022-08-18,188.91,23
9720,2023-08-23,480.06,5
3161,2023-10-21,320.33,3
8486,2022-03-29,150.61,36
1764,2022-12-29,342.26,31
3652,2022-04-19,366.23,45
8670,2023-03-19,439.76,3
3493,2022-11-26,261.26,41
2622,2022-09-11,54.77,50
5247,2023-01-08,353.06,23
4141,2023-08-07,304.5,6
5491,2023-10-29,419.79,10
6809,2023-03-15,196.26,27
2841,2023-05-10,376.28,22
2164,2022-12-12,281.66,7
8647,2023-11-10,489.94,46
4558,2023-03-16,107.03,4
8554,2022-09-18,99.2,19
4231,2023-04-05,142.33,43
2646,2022-02-01,421.33,41
9676,2022-02-14,224.93,33
3675,2023-10-31,345.03,35
3563,2023-10-21,286.54,19
4573,2022-01-16,189.38,35
1655,2022-03-02,368.81,30
5896,2022-02-19,60.08,31
7977,2022-12-27,278.03,3
